,T_ext,T_ext1,T_ext2
0,-3.45,-4.196441356,-3.008281617
1,-12.2,-4.168420515,-6.825841508
2,-11.7,-4.202031516,-7.881831378
3,-11.1,-4.352474112,-8.216583725
4,-11.1,-4.589778336,-8.532570242
5,-10.6,-4.852603462,-8.568354799
6,-10.6,-5.10939062,-8.703435042
7,-10.6,-5.346395819,-8.833805786
8,-10,-5.559594769,-8.697587783
9,-8.9,-5.746609569,-8.263377292
10,-6.7,-5.89300475,-7.253778915
11,-5,-5.984457667,-6.250889933
12,-3.3,-6.007067802,-5.189660764
13,-2.2,-5.958071917,-4.328032027
14,-1.1,-5.845939105,-3.495802948
15,-1.1,-5.688192723,-3.127403228
16,-1.1,-5.500520726,-2.887489035
17,-1.1,-5.302979565,-2.708730328
18,-1.7,-5.113069565,-2.819224127
19,-2.2,-4.940972527,-2.986170497
20,-1.1,-4.787660302,-2.523601731
21,-1.7,-4.654356054,-2.612332399
22,-1.1,-4.529938688,-2.327985304
23,-1.7,-4.417946582,-2.46298292
24,-1.7,-4.316350765,-2.455708745
25,-3.9,-4.236005756,-3.355676611
26,-2.8,-4.176189437,-3.134874195
27,-3.3,-4.144279793,-3.323295931
28,-2.8,-4.125920348,-3.171049768
29,-1.1,-4.103794785,-2.423765638
30,-1.1,-4.070112676,-2.200785796
31,-0.6,-4.012357396,-1.872214567
32,-0.6,-3.935219491,-1.731414365
33,0,-3.844567387,-1.387376484
34,0.6,-3.743421707,-0.991991468
35,1.7,-3.628358115,-0.3606985
36,1.7,-3.49865029,-0.114050804
37,1.7,-3.355121123,0.041692159
38,0,-3.213460903,-0.557919025
39,-0.6,-3.088089045,-0.927019517
40,0.6,-2.987308362,-0.527279976
41,0.6,-2.908437541,-0.423311126
42,-0.6,-2.841737522,-0.871460411
43,0.6,-2.777404795,-0.471865415
44,1.1,-2.717722385,-0.155886851
45,1.7,-2.651927715,0.214547951
46,2.2,-2.571237528,0.571385495
47,0,-2.486458045,-0.201228274
48,0,-2.405591328,-0.371956338
49,0,-2.345027887,-0.437465816
50,0,-2.3051599,-0.469386766
51,0.6,-2.274175876,-0.233469796
52,0,-2.248030055,-0.420941287
53,-1.1,-2.226765546,-0.923910178
54,-2.2,-2.220368853,-1.537723355
55,-3.3,-2.241767916,-2.214515542
56,-3.3,-2.293886407,-2.471328342
57,-4.4,-2.376752893,-3.088088287
58,-4.4,-2.479737124,-3.332414931
59,-3.9,-2.594265102,-3.276035359
60,-3.3,-2.707771969,-3.07568308
61,-2.8,-2.806039408,-2.849179884
62,-2.8,-2.8824915,-2.801917337
63,-2.8,-2.937787923,-2.791289941
64,-2.8,-2.977903288,-2.792777591
65,-2.8,-3.00870754,-2.79897127
66,-2.8,-3.033720161,-2.806819028
67,-2.8,-3.054875584,-2.814960285
68,-2.8,-3.073249499,-2.822793893
69,-2.8,-3.089377555,-2.830075605
70,-2.8,-3.103693822,-2.836728866
71,-2.8,-3.116547771,-2.842752867
72,-2.8,-3.128206089,-2.848182053
73,-2.8,-3.138775306,-2.85306621
74,-2.8,-3.148292849,-2.857460069
75,-2.8,-3.156880868,-2.861414801
76,-3.3,-3.166688689,-3.07550083
77,-3.3,-3.179079786,-3.140389959
78,-3.3,-3.196268087,-3.175518783
79,-2.8,-3.2149429,-2.988947405
80,-2.8,-3.231223708,-2.945343193
81,-2.2,-3.238968623,-2.674969154
82,-1.7,-3.235183184,-2.381158465
83,-1.7,-3.218282298,-2.275383329
84,-1.1,-3.186506716,-1.961475929
85,-0.6,-3.141518213,-1.634379808
86,-0.6,-3.084714101,-1.501723673
87,-1.1,-3.020239552,-1.628468588
88,-1.1,-2.955178448,-1.628319129
89,-2.8,-2.904068804,-2.327298912
90,-3.9,-2.877230765,-2.980904004
91,-5,-2.887774137,-3.6705449
92,-5,-2.936006282,-3.932238619
93,-4.4,-3.011881265,-3.835009765
94,-5,-3.102070458,-4.122837766
95,-6.1,-3.199995611,-4.704732886
96,-7.2,-3.310175821,-5.383821582
97,-7.2,-3.434451701,-5.653262607
98,-6.7,-3.57167164,-5.612599022
99,-7.2,-3.715457863,-5.88724446
100,-8.9,-3.862562089,-6.732595418
101,-12.2,-4.030178977,-8.425833978
102,-14.4,-4.240529282,-9.945486745
103,-15,-4.510222754,-10.81998403
104,-13.9,-4.827135496,-10.82364111
105,-13.9,-5.164928178,-11.01627667
106,-11.7,-5.483518662,-10.27444241
107,-9.4,-5.755277859,-9.197079712
108,-7.8,-5.956761392,-8.240620521
109,-6.7,-6.076118367,-7.4640902
110,-5.6,-6.117913295,-6.706860933
111,-3.9,-6.093409777,-5.68948552
112,-3.3,-6.015105647,-5.046946279
113,-4.4,-5.899451081,-5.201269891
114,-5,-5.768683154,-5.38440295
115,-5.6,-5.649578676,-5.62885159
116,-6.7,-5.559808504,-6.130442852
117,-7.8,-5.508060694,-6.728638893
118,-8.9,-5.499536808,-7.386448137
119,-8.9,-5.531855469,-7.624759452
120,-10,-5.601327931,-8.224931354
121,-11.1,-5.701557915,-8.918169601
122,-11.1,-5.826808615,-9.196104611
123,-12.2,-5.977965576,-9.834405805
124,-13.9,-6.152964129,-10.81535421
125,-13.9,-6.349409346,-11.19902606
126,-14.4,-6.569533257,-11.65185132
127,-14.4,-6.80208048,-11.89409957
128,-15,-7.038713944,-12.32368006
129,-13.9,-7.267801046,-12.07691061
130,-13.3,-7.482486516,-11.84694949
131,-12.2,-7.667118654,-11.36771378
132,-11.1,-7.810762248,-10.79262249
133,-11.7,-7.914962195,-10.87352585
134,-11.1,-7.982641624,-10.61480654
135,-11.7,-8.032874135,-10.78798133
136,-12.2,-8.077251643,-11.0334033
137,-14.4,-8.133536376,-12.03739656
138,-15.6,-8.216353051,-12.85809841
139,-17.2,-8.344146372,-13.853476
140,-17.2,-8.516199363,-14.24791191
141,-18.9,-8.730914877,-15.2096065
142,-18.3,-8.969796668,-15.34737253
143,-17.8,-9.221948229,-15.31593259
144,-18.9,-9.47560253,-15.87080106
145,-18.9,-9.718853501,-16.10473138
146,-19.4,-9.957483145,-16.47793996
147,-20,-10.19466405,-16.92304613
148,-20.6,-10.4330656,-17.39274485
149,-21.1,-10.67540238,-17.83384272
150,-22.2,-10.92644706,-18.52422035
151,-22.8,-11.18819874,-19.07826384
152,-21.7,-11.45610837,-18.89449628
153,-18.3,-11.70822485,-17.52719125
154,-16.1,-11.91325576,-16.27060138
155,-14.4,-12.03808563,-15.15208225
156,-14.4,-12.07960369,-14.73776657
157,-13.3,-12.05217345,-14.04030775
158,-12.8,-11.98071252,-13.53820342
159,-13.3,-11.88424212,-13.50335492
160,-13.9,-11.7790064,-13.65221583
161,-16.1,-11.69073792,-14.56034057
162,-16.7,-11.63684521,-15.04570537
163,-18.3,-11.63529178,-15.89578795
164,-18.3,-11.68309404,-16.18957138
165,-19.4,-11.77624636,-16.81875701
166,-20,-11.90294513,-17.32112299
167,-19.4,-12.05212236,-17.29985573
168,-20,-12.2163905,-17.6339752
169,-21.1,-12.38735126,-18.25167405
170,-21.1,-12.56302035,-18.49785141
171,-21.1,-12.74702329,-18.65825631
172,-21.1,-12.93330367,-18.78128022
173,-21.7,-13.11769778,-19.13492421
174,-21.7,-13.29766919,-19.2951566
175,-21.7,-13.47506199,-19.40922652
176,-21.1,-13.64554325,-19.2491843
177,-17.2,-13.78874609,-17.61209883
178,-14.4,-13.87953593,-15.98267983
179,-12.8,-13.88734211,-14.7483591
180,-12.2,-13.80593729,-13.9882274
181,-10.6,-13.65081082,-12.93098541
182,-10,-13.4468994,-12.22339896
183,-9.4,-13.20958122,-11.60095988
184,-9.4,-12.95366061,-11.267278
185,-10,-12.69469086,-11.2797617
186,-10,-12.44816456,-11.16399346
187,-10,-12.22499239,-11.04598075
188,-9.4,-12.0238547,-10.68621322
189,-8.9,-11.83792423,-10.30625748
190,-8.9,-11.6610262,-10.12133309
191,-8.3,-11.4872868,-9.735978231
192,-8.9,-11.32013195,-9.808044852
193,-8.9,-11.16129922,-9.753966149
194,-8.9,-11.0159518,-9.69017669
195,-8.3,-10.88325446,-9.377252672
196,-8.3,-10.75984876,-9.24823153
197,-8.3,-10.64114768,-9.159890218
198,-8.3,-10.52704966,-9.089602344
199,-7.8,-10.41738622,-8.820045856
200,-7.8,-10.31203281,-8.707382523
201,-5.6,-10.19830001,-7.704069296
202,-3.9,-10.06465905,-6.655805565
203,-2.8,-9.895063594,-5.789795692
204,-0.6,-9.677005064,-4.4798153
205,0.6,-9.412080312,-3.451203181
206,1.7,-9.101138008,-2.508150618
207,1.7,-8.757565402,-2.047991979
208,1.7,-8.397071076,-1.728109524
209,0,-8.046303434,-2.19408963
210,0,-7.722699336,-2.197905959
211,0,-7.438631882,-2.132318341
212,1.1,-7.185411308,-1.589659536
213,0.6,-6.954580589,-1.584170977
214,0,-6.738757562,-1.750839947
215,-0.6,-6.542849236,-1.991142778
216,-1.1,-6.374709564,-2.234944737
217,-1.1,-6.235531655,-2.288546427
218,-1.1,-6.122082364,-2.299324872
219,-0.6,-6.024480803,-2.083688922
220,0,-5.931252313,-1.75714477
221,0,-5.835403941,-1.635395269
222,-1.7,-5.742942459,-2.274249296
223,-2.8,-5.662966101,-2.888429159
224,-2.8,-5.610161472,-3.085221234
225,-1.1,-5.5800165,-2.470983388
226,0,-5.552510769,-1.861253952
227,1.1,-5.501742045,-1.195740674
228,1.7,-5.415826923,-0.694860946
229,2.2,-5.295456201,-0.262115413
230,1.7,-5.152138739,-0.266314864
231,1.7,-4.998118086,-0.187321636
232,0.6,-4.85107235,-0.574030284
233,-1.1,-4.7273622,-1.357586767
234,-2.8,-4.643718889,-2.2936381
235,-4.4,-4.615228256,-3.279584429
236,-5,-4.644693415,-3.897748614
237,-6.1,-4.727773517,-4.647362237
238,-4.4,-4.837276577,-4.252232515
239,-5,-4.959753361,-4.501136905
240,-5.6,-5.079203886,-4.870270631
241,-4.4,-5.185432983,-4.524906831
242,-3.3,-5.275337774,-4.022610029
243,-2.8,-5.337801408,-3.683702954
244,-2.8,-5.367056572,-3.569110429
245,-3.3,-5.371114393,-3.720828282
246,-3.3,-5.362147392,-3.746445436
247,-3.9,-5.353439154,-4.006645278
248,-3.9,-5.349853405,-4.083605614
249,-3.3,-5.350818706,-3.870690622
250,-2.2,-5.348757387,-3.35917387
251,-1.1,-5.330316363,-2.73995525
252,0,-5.283266126,-2.058475805
253,2.2,-5.194757172,-0.870710594
254,3.9,-5.057341177,0.27488669
255,4.4,-4.868829293,0.950660639
256,3.3,-4.642789913,0.841272189
257,2.2,-4.406179142,0.489011182
258,2.2,-4.185857408,0.473146397
259,2.8,-3.993495946,0.763687066
260,2.8,-3.82480724,0.88774107
261,3.3,-3.666931738,1.18871559
262,2.2,-3.519839917,0.862700321
263,1.7,-3.385934725,0.614197208
264,1.1,-3.274870488,0.308194969
265,1.1,-3.189701276,0.222436742
266,1.7,-3.123952698,0.439396559
267,3.3,-3.061535351,1.170887139
268,3.9,-2.987017151,1.652962862
